org,cmpnd,log_slope
Shewanella putrefaciens,heptynoate,1.297301797950289
Silanimonas lenta,Azido,1.7016778774801813
Silanimonas lenta,heptynoate,1.9608351312824917
Silanimonas lenta,hexanoate,1.790342238183228
Streptococcus pneumoniae,heptynoate,1.1545903514739055
Streptomyces ambofaciens,Azido,1.4650225181950574
Streptomyces avermitilis,heptynoate,1.7984046705151948
Subtercola sp. Z020,Biotin,1.0443726878908184
Subtercola sp. Z020,heptynoate,1.872516773447571
Subtercola sp. Z020,hexanoate,1.414152246868306
Thermomonas haemolytica,7Ph heptanoate,1.7721793847336516
Thermomonas haemolytica,Azido,2.287286561414609
Thermomonas haemolytica,decanoate,1.675778341674085
Thermomonas haemolytica,dodecanoate,1.9640857129102294
Thermomonas haemolytica,heptynoate,2.280554197888013
Thermomonas haemolytica,hexanoate,2.1346156396149967
Thermomonas haemolytica,TMA,0.8093993086474703
Wenzhouxiangella sediminis,heptynoate,1.674528742714696
Xanthomonas translucens,Azido,2.15676050083113
Xanthomonas translucens,heptynoate,2.114978608014264
Xanthomonas translucens,hexanoate,2.363280176424838
XC,Azido,2.033827514014855
XC,ClPh propionate,1.8306694054601282
XC,decanoate,1.541579243946581
XC,dodecanoate,1.6706366582892624
XC,heptynoate,2.0206122181840995
XC,hexanoate,2.426796056584016
XC,TMA,1.2648237086452496
