org,max_slope,r2,intercept
Kytococcus sedentarius,1.672509894285488,0.989344720452728,-2.8590029785804063
Granulosicoccus antarcticus,0.971184901148649,0.995277905945236,-0.3941549909673592
Xanthomonas translucens,0.9575170989202578,0.9985083196677519,-5.270763477258253
Dermabacter hominis,0.6703557971825214,0.9979954288032846,-3.5872631639530823
Mobilicoccus massiliensis,0.591558257881542,0.9996823947923078,-8.133304468495382
XC,0.5496452580616231,0.9998578402567796,-6.167645018063389
Thermomonas haemolytica,0.5298529417433082,0.9989215628543897,-3.8879368840722703
Pseudoxanthomonas,0.4966725141210833,0.9987466872427399,-3.8572485743027998
Actinoplanes atraurantiacus,0.4658001342560095,0.997327260723419,-3.2446800297950515
Arthrobacter globiformis,0.39767866049976064,0.999167588320353,-3.2999942887828535
Luteimonas tolerans,0.39575190079777844,0.9996956172427702,-4.282482767165774
Intrasporangiaceae bacterium URHB0013,0.3757611712595322,0.9981168293323893,-2.7221062236504237
Chromatocurvus halotolerans,0.32897987598913364,0.9956124794369052,-3.6223046119574343
Silanimonas lenta,0.2792689975738474,0.9997106212342091,-3.6099133477946097
Micromonospora peucetia,0.2026384653074178,0.9957955352229818,-3.2188898969850843
Kocuria flava,0.1934995045869736,0.993111795877383,-5.4098619017732545
Arenimonas oryziterrae,0.12120059586892078,0.9491742364509776,-3.962941862247706
Humibacillus sp. DSM 29435,0.09915640903042308,0.988746385574344,-2.930171170996926
Halobacteriovorax marinus,0.09060432114724509,0.9908810603378123,-3.174035361416669
Brachybacterium alimentarium,0.06667879450048428,0.9234627715854071,-2.782548149587047
Okibacterium fritillariae,0.06284081348121333,0.9909626576435632,-2.194336620716396
Geodermatophilus obscurus,0.061159082153242415,0.9763673086278074,-2.532493705757525
Plantibacter sp. VKM Ac-1784,0.04990690111449509,0.9704686025614971,-2.648174589279205
Cellulomonas cellasea,0.0491526918266844,0.9264038526629473,-3.752285590438489
Brachybacterium paraconglomeratum,0.04480074885217002,0.9744982718873549,-3.0592975383198455
Bacteriovorax sp. BAL6 X,0.022380054999947482,0.9278898258557253,-2.013469822885161
Rothia mucilaginosa,0.014405277871147511,0.9455603601145101,-2.0021387546625826
Mycolicibacterium obuense,0.013297271516471717,0.9008309270840141,-2.6211342141315996
