V1,PC1,PC2,PC3,PC4,PC5,PC6,PC7
biotin,-20.057259477218,-6.62258127323734,-6.69964281573387,4.18921734897085,-0.450519421602295,1.75319634767721,0.229911415473725
benzoate,3.44873992007892,-2.55570959745551,6.83993755577137,2.82755468492069,2.28492702659142,2.08881652730636,0.898773342618696
dodecanoate,-1.94058523875716,7.35189731813641,-5.26154506780667,-3.89737667486547,2.15354294243048,-1.00046119758932,0.333760222318211
TMA,9.65232737046155,-10.4424907852643,-0.885839142549713,-3.02547870007664,-0.947831980016111,-1.38302412669398,0.399084458992831
7Ph heptanoate,-5.14934921355271,4.35473117796441,1.3186717373523,-3.67030199939275,4.0389786100159,-0.227815768927882,1.21265611753317
heptynoate,6.6482227533606,1.13413563140887,0.10390806467957,3.62080754719204,1.75033143654792,2.97460643892826,-3.95377102768836
ClPh propionate,-3.65660059002919,0.025487495578985,6.42924402882238,-1.70369868272251,-1.34898336197605,2.78187691596505,5.39386847793275
butoxy,0.828287388907681,4.52039187132274,-0.480542458363775,-1.31521638733553,-10.7104993196299,2.58554152716104,-1.07666500090136
azido,2.93124284626221,2.50739510419654,-0.335598407921401,6.85214928740688,-2.04994043226632,-7.82908281474372,2.25781829296104
dimethyl,3.86333689863538,-6.90439841593254,-3.56416688641893,-5.62787371016347,-0.209031874486002,-1.97742606894911,-0.328857642876347
oxidazole,-11.2289738667673,-0.400363392628006,8.85554403094777,-2.25871115505624,-0.231131025388522,-3.72175103381809,-4.50280903714534
cyclopentyl,1.1534748780449,-0.166936139437789,-0.76526608629391,2.26850702037641,2.61191294090315,2.1664626191567,-0.265900050091216
hexanoate,6.87260066566586,0.578447546802908,-0.665364955145955,2.20028140789296,0.530978360940219,1.21142972233023,-0.604138133655006
heptanoate,5.61991008332338,1.4345248528772,-1.08802898443494,1.48151151368827,0.967571416607219,0.833041185124444,-0.00108509638053149
decanoate,1.01462558158383,5.18546860566743,-3.80131061290422,-1.94137150083543,1.60969468132886,-0.255410272927204,0.00735366090775095
