org,max_slope,r2,intercept
Mobilicoccus massiliensis,0.102,0.982,-6.105
Kytococcus sedentarius,0.086,0.962,-5.702
Kocuria varians,0.073,0.923,-4.420
Granulosicoccus antarcticus,0.066,0.993,-3.379
Actinoplanes atraurantiacus,0.051,0.943,-4.467
