x1_2,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0.23,0.05,0.07,0.1,0.07,0.14,0.04,1-H5,0.02,0.17,Pet28_2
0.07,0.11,0.08,0.12,0.08,0.03,1-G3,0.11,0.07,Pet28_1,Pet28_3
0.34,0.12,0.12,0.2,0.02,0.27,1-F3,1-F4,1-F5,0 uL pNP,Nothing_2
0.24,0.15,0.09,2-E9,0.03,1-E3,0.05,0.05,0.03,2 uL pNP,Nothing_3
0.1,0.22,0.2,0.2,0.25,1-D2,0.06,0.06,0.07,4 uL pNP,Nothing_4
0.11,0.08,0.11,0.1,0.27,0.07,0.84,0.09,0.02,6 uL pNP,Nothing_5
0.16,0.15,0.31,0.1,0.22,0.1,0.51,0.31,1-B6,8 uL pNP,Nothing_6
0.32,0.99,0.11,0.17,0.08,1-A4,0.05,1-A6,0.03,10 uL pNP,Nothing_7
1.57,1.87,1.09,0.99,1.02,0.61,1.55,0.62,0.24,,
