org,max_slope,r2,intercept
Luteimonas tolerans,0.117914607310946,0.9928198029746184,-1.528650734587353
Kytococcus sedentarius,0.10434279104717482,0.9922565538914881,-1.223430968498301
Arenimonas oryziterrae,0.09505771614128686,0.9870096118840519,-2.091853608386415
Granulosicoccus antarcticus,0.07299663942579761,0.9795742469417856,-1.8177582659174683
Thermomonas haemolytica,0.06762188392214864,0.9268584980651454,-2.7343526031977365
Plantibacter sp. VKM Ac-1784,0.03631526520022255,0.9106310977012869,-2.347853195836998
