org,max_slope,r2,intercept
Granulosicoccus antarcticus,0.23683445180673204,0.9584779020113134,-3.7803531611945043
Kytococcus sedentarius,0.2343236097370303,0.9991947530411184,-0.1782459713029909
Actinoplanes atraurantiacus,0.08846146136041597,0.9923162718605051,-2.030703032630456
Mobilicoccus massiliensis,0.07470652497108643,0.9932246372211547,-1.2454598224771873
Mycolicibacterium obuense,0.03757118785238246,0.9766582263199829,-3.082713384682801
Psychromonas aquimarina,0.01901676573689728,0.9203751156157908,-0.8908277364963377
