cid,cmpnd
5325560,2-Azidobenzoic acid
3418752,3-Amino-4-bromobenzoic acid
11569604,3-Amino-5-bromobenzoic acid
2769624,5-Amino-2-bromobenzoic acid
24729521,2-Chloropyridine-4-acetic acid
17211,4-Amino-3-chlorobenzoic acid
329979,"6-Methylimidazo[2,1-b][1,3]thiazole-5-carboxylic acid"
95738,4-Mercaptobenzoic acid
7420,3-Hydroxybenzoic acid
135,4-Hydroxybenzoic acid
338,Salicylic acid
19,"2,3-Dihydroxybenzoic acid"
1491,"2,4-Dihydroxybenzoic acid"
3469,"2,5-Dihydroxybenzoic acid"
9338,"2,6-Dihydroxybenzoic acid"
72,"3,4-Dihydroxybenzoic acid"
7424,"3,5-Dihydroxybenzoic acid"
11874,"2,3,4-Trihydroxybenzoic acid"
370,Gallic acid
86,2-Amino-3-hydroxybenzoic acid
2736521,3-Hydrazinobenzoic acid
735431,"5,6-Dihydroimidazo[2,1-b][1,3]thiazol-3-ylacetic acid"
3157493,"Imidazo[2,1-b][1,3]thiazol-6-ylacetic acid"
15507525,1-(Trifluoromethyl)cyclopentane-1-carboxylic acid
13835292,"2-Ethyl-4-methyl-1,3-thiazole-5-carboxylic acid"
18435762,"2-Propyl-1,3-thiazole-4-carboxylic acid"
80940,"3-(4-Methyl-1,3-thiazol-5-yl)propanoic acid"
69134,"2,4-Diaminobenzoic acid"
2779136,"4,4-Difluorocyclohexanecarboxylic acid"
129251846,trans-N-methoxy-N-methyl-2-(trifluoromethyl)cyclopropanecarboxamide1
73977786,trans-N-methoxy-N-methyl-2-(trifluoromethyl)cyclopropanecarboxamide2
91658732,trans-N-methoxy-N-methyl-2-(trifluoromethyl)cyclopropanecarboxamide3
1132724,"2-(Ethylamino)-4-methyl-1,3-thiazole-5-carboxylic acid"
69470,1-Cyclohexene-1-carboxylic acid
96216,2-Cyclopentene-1-acetic acid
20903,3-Cyclohexene-1-carboxylic acid
4377950,6-Heptynoic acid
3569983,2-Oxocyclopentaneacetic acid
2760252,3-Oxo-1-cyclohexanecarboxylic acid
16213729,4-Cyclopropyl-4-oxobutyric acid
192730,4-Oxocyclohexanecarboxylic acid
95084,4-Oxoheptanedioic acid
222467,"1,2,4-Butanetricarboxylic acid"
11062480,"(1R,3S,4S)-2-Azabicyclo[2.2.1]heptane-3-carboxylic acid"
140065,"2,2-Dimethyl-4-pentenoic acid"
5362565,"2,4-Dimethyl-2-pentenoic acid"
5282650,2-Methyl-2-hexenoic acid
5282710,3-Heptenoic acid
70705,6-Heptenoic acid
7413,Cyclohexanecarboxylic acid
71606,Cyclopentylacetic acid
29893137,1-(Methoxymethyl)cyclobutanecarboxylic acid
98810,6-Oxoheptanoic acid
12681,"2,2-Dimethylglutaric acid"
20984,"3,3-Dimethylglutaric acid"
12292,3-Methyladipic acid
385,Pimelic acid
77,2-Isopropylmalic acid
544887,3-Aminocyclohexanecarboxylic acid
171560,4-Aminocyclohexanecarboxylic acid
546304,[(3-Methylbutanoyl)amino]acetic acid
2755974,(Boc-aminooxy)acetic acid
16730047,1-(Aminomethyl)cyclopentanecarboxylic acid
1366,1-Aminocyclohexanecarboxylic acid
14455,"2,2-Dimethylvaleric acid"
20653,2-Methylhexanoic acid
8094,Heptanoic acid
2760949,3-(tert-Butoxy)propionic acid
15003010,6-Methoxyhexanoic acid
3709202,3-Aminoheptanoic acid
21848078,2-(Aminomethyl)-2-ethylbutanoic acid
25219190,3-[Ethyl(methyl)amino]-2-methylpropanoic acid
82009,5-Chloro-2-methylbenzoic acid
69544,Tetrafluorophthalic acid
69553,"2,3,4,5,6-Pentafluorophenylacetic acid"
53425520,3-Bromo-4-cyanobenzoic acid
21942542,3-Bromo-5-cyanobenzoic acid
688182,2-Chloro-5-(trifluoromethyl)benzoic acid
590659,4-Cyano-2-fluorobenzoic acid
2778468,4-Cyano-3-fluorobenzoic acid
2774067,"2,2-Difluoro-1,3-benzodioxole-4-carboxylic acid"
642096,2-Nitro-4-(trifluoromethyl)benzoic acid
2782737,4-Nitro-2-(trifluoromethyl)benzoic acid
16217753,4-Nitro-3-(trifluoromethyl)benzoic acid
518002,2-Fluoro-3-(trifluoromethyl)benzoic acid
518003,2-Fluoro-4-(trifluoromethyl)benzoic acid
688292,2-Fluoro-5-(trifluoromethyl)benzoic acid
688123,2-Fluoro-6-(trifluoromethyl)benzoic acid
688293,3-Fluoro-4-(trifluoromethyl)benzoic acid
519222,3-Fluoro-5-(trifluoromethyl)benzoic acid
688255,4-Fluoro-2-(trifluoromethyl)benzoic acid
522268,4-Fluoro-3-(trifluoromethyl)benzoic acid
688294,5-Fluoro-2-(trifluoromethyl)benzoic acid
81361,4-Bromoisophthalic acid
12514106,"5-Bromobenzo[1,3]dioxole-4-carboxylic acid"
90073,5-Bromoisophthalic acid
2777948,"2,3,6-Trifluorophenylacetic acid"
2777950,"2,4,5-Trifluorophenylacetic acid"
9899,2-(Trifluoromethyl)benzoic acid
9963,3-(Trifluoromethyl)benzoic acid
9966,4-(Trifluoromethyl)benzoic acid
688330,3-(Trifluoromethylthio)benzoic acid
2777858,4-(Trifluoromethylthio)benzoic acid
2733970,"2,4,5-Trifluoro-3-methoxybenzoic acid"
164578,2-Hydroxy-4-(trifluoromethyl)benzoic acid
66096,3-(Trifluoromethoxy)benzoic acid
67613,4-(Trifluoromethoxy)benzoic acid
2775111,4-Hydroxy-2-(trifluoromethyl)benzoic acid
138061,2-Cyanobenzoic acid
15875,3-Cyanobenzoic acid
12087,4-Cyanobenzoic acid
69122,2-Nitroterephthalic acid
69043,3-Nitrophthalic acid
69121,4-Nitrophthalic acid
12069,5-Nitroisophthalic acid
132386,4-Bromomethyl-3-nitrobenzoic acid
171018,Methyl 5-chloro-2-nitrobenzoate
88209,"2,4-Dichlorophenylacetic acid"
81058,"2,6-Dichlorophenylacetic acid"
79874,"3,4-Dichlorophenylacetic acid"
1486,"2,4-Dichlorophenoxyacetic acid"
520772,"2,3-Difluorophenylacetic acid"
123581,"2,4-Difluorophenylacetic acid"
522823,"2,5-Difluorophenylacetic acid"
123585,"2,6-Difluorophenylacetic acid"
69571,"3,4-Difluorophenylacetic acid"
145424,"3,5-Difluorophenylacetic acid"
588650,"2,3-Difluoromandelic acid"
737360,4-(Difluoromethoxy)benzoic acid
11085349,2-Amino-5-(trifluoromethoxy)benzoic acid
221513,"2,4-Dinitrophenylacetic acid"
98824,"3,5-Dinitro-o-toluic acid"
85477,"4-Methyl-3,5-dinitrobenzoic acid"
11915,Phenylglyoxylic acid
8496,Isophthalic acid
1017,Phthalic acid
7196,Piperonylic acid
12490,4-Hydroxyisophthalic acid
69257,5-Hydroxyisophthalic acid
2735588,2-Bromo-3-methylbenzoic acid
226292,2-Bromo-4-methylbenzoic acid
228080,2-Bromo-5-methylbenzoic acid
2735589,2-Bromo-6-methylbenzoic acid
87754,2-Bromophenylacetic acid
2735590,3-Bromo-2-methylbenzoic acid
82130,3-Bromo-4-methylbenzoic acid
74653,3-Bromophenylacetic acid
22599,4-(Bromomethyl)benzoic acid
99570,4-Bromo-2-methylbenzoic acid
82131,4-Bromo-3-methylbenzoic acid
74654,4-Bromophenylacetic acid
346004,5-Bromo-2-methylbenzoic acid
2769628,(3-bromo-4-hydroxy-phenyl)-acetic acid
89906,2-Bromo-5-methoxybenzoic acid
253598,3-Bromo-2-methoxybenzoic acid
66836,3-Bromo-4-methoxybenzoic acid
97930,4-Bromo-DL-mandelic acid
13450755,4-Bromo-2-methoxybenzoic acid
16215867,4-Bromo-3-methoxybenzoic acid
74657,4-Bromophenoxyacetic acid
881739,5-Bromo-2-methoxybenzoic acid
16217459,5-Bromo-2-hydroxy-4-methoxybenzoic acid
296106,2-(Chloromethyl)benzoic acid
139879,2-Chloro-3-methylbenzoic acid
88870,2-Chloro-6-methylbenzoic acid
17124,2-Chlorophenylacetic acid
241752,3-(Chloromethyl)benzoic acid
82010,3-Chloro-2-methylbenzoic acid
15879,3-Chlorophenylacetic acid
74234,4-(Chloromethyl)benzoic acid
348269,4-Chloro-2-methylbenzoic acid
15880,4-Chlorophenylacetic acid
608814,2-Chloro-5-(methylthio)benzoic acid
11969,(2-Chlorophenoxy)acetic acid
785085,(R)-4-Chloromandelic acid
16218063,2-Chloro-3-methoxybenzoic acid
221503,2-Chloro-5-methoxybenzoic acid
97720,2-Chloromandelic acid
118534,3-Chloro-4-hydroxyphenylacetic acid
169982,3-Chloro-4-methoxybenzoic acid
12909341,3-Chloro-5-methoxybenzoic acid
93682,4-Chloro-2-methoxybenzoic acid
2063378,4-Chloro-3-methoxybenzoic acid
10299,4-Chloromandelic acid
26229,4-Chlorophenoxyacetic acid
76970,5-Chloro-2-methoxybenzoic acid
242829,2-Fluoro-5-methylbenzoic acid
67979,2-Fluorophenylacetic acid
246682,3-Fluoro-2-methylbenzoic acid
67687,3-Fluoro-4-methylbenzoic acid
67617,3-Fluorophenylacetic acid
3860639,4-Fluoro-2-methylbenzoic acid
242828,4-Fluoro-3-methylbenzoic acid
9837,4-Fluorophenylacetic acid
182114,5-Fluoro-2-methylbenzoic acid
9793959,2-Fluoro-4-(hydroxymethyl)benzoic acid
2737360,2-Fluoro-6-methoxybenzoic acid
68014,3-Fluoro-4-hydroxyphenylacetic acid
2733401,3-Fluoro-4-methoxybenzoic acid
67882,4-Fluorophenoxyacetic acid
2759365,2-Iodo-3-methylbenzoic acid
142941,2-Iodo-5-methylbenzoic acid
2780090,2-Iodophenylacetic acid
621640,3-Iodo-4-methylbenzoic acid
3870220,3-Iodophenylacetic acid
624158,3-Iodo-4-methoxybenzoic acid
13450756,4-Iodo-2-methoxybenzoic acid
74658,4-Iodophenoxyacetic acid
10378,Anilino(oxo)acetic acid
6957,Phthalamic acid
16096,2-Methyl-3-nitrobenzoic acid
74790,2-Methyl-4-nitrobenzoic acid
519683,2-Methyl-5-nitrobenzoic acid
16097,2-Methyl-6-nitrobenzoic acid
77337,2-Nitrophenylacetic acid
21575,3-Methyl-2-nitrobenzoic acid
18370,3-Methyl-4-nitrobenzoic acid
15876,3-Nitrophenylacetic acid
255027,4-Methyl-2-nitrobenzoic acid
7319,4-Methyl-3-nitrobenzoic acid
4661,4-Nitrophenylacetic acid
18371,5-Methyl-2-nitrobenzoic acid
75776,2-Methoxy-4-nitrobenzoic acid
81374,3-Hydroxy-4-methyl-2-nitrobenzoic acid
78632,3-Methoxy-2-nitrobenzoic acid
78764,3-Methoxy-4-nitrobenzoic acid
447364,4-Hydroxy-3-nitrophenylacetic acid
288657,4-Methoxy-2-nitrobenzoic acid
66640,4-Methoxy-3-nitrobenzoic acid
339209,5-Methoxy-2-nitrobenzoic acid
816761,"2,5-Diaminoterephthalic acid"
7418,m-Toluic acid
8373,o-Toluic acid
7470,p-Toluic acid
999,Phenylacetic acid
59541,(Phenylthio)acetic acid
19498,2-(Methylthio)benzoic acid
83230,4-(Methylthio)benzoic acid
11970,2-Hydroxyphenylacetic acid
11370,2-Methoxybenzoic acid
68512,3-Hydroxy-4-methylbenzoic acid
12122,3-Hydroxyphenylacetic acid
11461,3-Methoxybenzoic acid
6738,3-Methylsalicylic acid
76360,4-(Hydroxymethyl)benzoic acid
68475,4-Hydroxy-2-methylbenzoic acid
68138,4-Hydroxy-3-methylbenzoic acid
127,4-Hydroxyphenylacetic acid
7478,4-Methoxybenzoic acid
5788,4-Methylsalicylic acid
235188,5-Hydroxy-2-methylbenzoic acid
6973,5-Methylsalicylic acid
11829639,"anti-3-Oxotricyclo[2.2.1.02,6]heptane-7-carboxylic acid"
1292,Mandelic acid
19188,Phenoxyacetic acid
15881,(4-Hydroxyphenoxy)acetic acid
70140,2-Hydroxy-3-methoxybenzoic acid
75231,2-Hydroxy-4-methoxybenzoic acid
75787,2-Hydroxy-5-methoxybenzoic acid
547,"3,4-Dihydroxyphenylacetic acid"
2748045,"3,5-Dihydroxy-4-methylbenzoic acid"
86957,3-Hydroxymandelic acid
591524,6-Methoxysalicylic acid
122903,Dehydroacetic acid
780,Homogentisic acid
12575,Isovanillic acid
8468,Vanillic acid
220380,3-(Methylsulfonyl)benzoic acid
77670,4-(Methylsulfonyl)benzoic acid
85782,"DL-3,4-Dihydroxymandelic acid"
266034,"1,2,3,4-Cyclobutanetetracarboxylic acid"
283841,3-(Methylamino)benzoic acid
241632,4-Amino-2-methylbenzoic acid
233243,4-Pyridinepropionic acid
10374614,5-Amino-2-methylbenzoic acid
351010,2-Amino-4-methoxybenzoic acid
19849158,3-Amino-2-methoxybenzoic acid
13874409,3-Amino-5-methoxybenzoic acid
13549244,5-Amino-2-methoxybenzoic acid
277942,2-(Aminomethyl)benzoic acid
564581,"1,4-Dihydro-2-methylbenzoic acid"
78949,5-Norbornene-2-carboxylic acid
721733,exo-5-Norbornenecarboxylic acid1
12268635,exo-5-Norbornenecarboxylic acid2
15507524,1-(Trifluoromethyl)cyclohexane-1-carboxylic acid
13642468,3-(trifluoromethyl)cyclohexane-1-carboxylic acid
2779182,4-(Trifluoromethyl)cyclohexanecarboxylic acid
2779182,trans-4-(Trifluoromethyl)cyclohexanecarboxylic acid
15093930,"2-Isopropyl-4-methyl-1,3-thiazole-5-carboxylic acid"
53398843,"1-(3-Ethyl-1,2,4-oxadiazol-5-yl)ethanamine trifluoroacetate"
14106,"1,4-Cyclohexanedicarboxylic acid"
136906,"Cyclohexane-1,1-dicarboxylic acid"
14106,"trans-1,4-Cyclohexanedicarboxylic acid"
75530792,"2-Methyl-1,4-diazepan-5-one trifluoroacetate"
11073651,"(1R,3S,5R)-2-Azabicyclo[3.3.0]octane-3-carboxylic acid"
70744,1-Methyl-1-cyclohexanecarboxylic acid
152115,"2,2,3,3-Tetramethylcyclopropanecarboxylic acid"
85811,2-Methyl-1-cyclohexanecarboxylic acid
5282714,2-Octenoic acid
8818,3-Cyclopentylpropionic acid
114490,3-Methyl-1-cyclohexanecarboxylic acid
5282716,3-Octenoic acid
20330,4-Methyl-1-cyclohexanecarboxylic acid
543977,7-Octenoic acid
15091,Cycloheptanecarboxylic acid
21363,Cyclohexaneacetic acid
20330,trans-4-Methyl-1-cyclohexanecarboxylic acid
67600,2-Oxooctanoic acid
3702280,3-Methoxycyclohexanecarboxylic acid
736153,4-Methoxycyclohexanecarboxylic acid
26464,7-Oxooctanoic acid
10457,Suberic acid
552003,2-Bromooctanoic acid
548275,8-Bromooctanoic acid
3028072,1-Amino-3-methylcyclohexanecarboxylic acid
5526,trans-4-(Aminomethyl)cyclohexanecarboxylic acid
8697,2-Ethylhexanoic acid
379,Octanoic acid
69820,8-Hydroxyoctanoic acid
106312,(2-Butoxyethoxy)acetic acid
74091,2-Methyl-1-naphthoic acid
6423044,3-Chloro-2-methoxybenzoic acid
736187,"2,5-Bis(trifluoromethyl)benzoic acid"
90618,"2,6-Bis(trifluoromethyl)benzoic acid"
12889,"3,5-Bis(trifluoromethyl)benzoic acid"
5708779,"3,4,5-Trifluorocinnamic acid"
143579,4-(Trifluoroacetyl)benzoic acid
23067883,"4-(1,1,2,2,2-Pentafluoroethyl)benzoic acid"
90070,"5-Cyano-1,3-benzenedicarboxylic acid"
23720426,Sodium 4-ethynylbenzoate
5941651,4-Chloro-2-fluorocinnamic acid
688108,trans-4-Chloro-3-nitrocinnamic acid
688027,"3,4-Dichlorocinnamic acid"
5374945,"trans-2,4-Difluorocinnamic acid"
2733299,"trans-2,5-Difluorocinnamic acid"
5372267,"trans-2,6-Difluorocinnamic acid"
2733300,"trans-3,4-Difluorocinnamic acid"
5374941,"trans-3,5-Difluorocinnamic acid"
2737588,2-Fluoro-3-(trifluoromethyl)phenylacetic acid
2737593,4-Fluoro-3-(trifluoromethyl)phenylacetic acid
578680,"3-(1,1,2,2-Tetrafluoroethoxy)benzoic acid"
2776639,"4-(1,1,2,2-Tetrafluoroethoxy)benzoic acid"
15897047,3-Ethynylbenzoic acid
589706,4-Ethynylbenzoic acid
69475,Phenylpropiolic acid
11288,"1,2,3-Benzenetricarboxylic acid"
10708,"1,2,4-Benzenetricarboxylic acid"
11138,Trimesic acid
776461,3-Bromocinnamic acid
737158,4-Bromocinnamic acid
2756835,3-(2-bromoacetyl)benzoic acid
637797,4-Chlorocinnamic acid
2820813,2-(Acetyloxy)-5-chlorobenzoic acid
735833,2-Fluorocinnamic acid
1530234,4-Fluorocinnamic acid
1551219,trans-3-Fluorocinnamic acid
594597,2-(Trifluoromethyl)phenylacetic acid
67695,3-(Trifluoromethyl)phenylacetic acid
118342,4-(Trifluoromethyl)phenylacetic acid
164593,4-(Trifluoromethyl)mandelic acid
1519397,3-Cyanophenylacetic acid
79587,4-Cyanophenylacetic acid
737157,4-Nitrocinnamic acid
735923,trans-2-Nitrocinnamic acid
687126,trans-3-Nitrocinnamic acid
95158,5-Bromo-N-(carboxymethyl)anthranilic acid
16038256,"3-(3,5-Dibromophenyl)propionic acid"
225446,4-(2-Chloroacetamido)benzoic acid
2740915,"3-(2,4-Dichlorophenyl)propionic acid"
819305,"3-(3,5-Dichlorophenyl)propionic acid"
2778994,"3,4-Difluorohydrocinnamic acid"
4986395,"3-(2,4-Difluorophenyl)propionic acid"
3669498,"3-(3,5-Difluorophenyl)propionic acid"
73758,4-Acetamido-3-nitrobenzoic acid
3015504,2-Vinylbenzoic acid
444539,trans-Cinnamic acid
275706,3-(Phenylthio)acrylic acid1
1547667,3-(Phenylthio)acrylic acid2
11159663,3-(Phenylthio)acrylic acid3
68474,2-Acetylbenzoic acid
637540,2-Hydroxycinnamic acid
220324,3-Acetylbenzoic acid
11470,4-Acetylbenzoic acid
997,Phenylpyruvic acid
637541,trans-3-Hydroxycinnamic acid
446611,"2,4-Dihydroxycinnamic acid"
76115,"3,4-(Methylenedioxy)phenylacetic acid"
238669,3-Acetoxybenzoic acid
979,4-Hydroxyphenylpyruvic acid
68137,5-Methylisophthalic acid
66643,Homophthalic acid
75152,4-Methoxyisophthalic acid
327428,5-Methoxyisophthalic acid
316010,3-(2-Bromophenyl)propionic acid
2063862,3-(3-Bromophenyl)propionic acid
2735609,3-(4-Bromophenyl)propionic acid
4519056,4-(Bromomethyl)phenylacetic acid
3507593,2-(4-Bromophenoxy)propanoic acid
3963668,2-Bromo-4-methoxyphenylacetic acid
222963,"2-Bromo-4,5-dimethoxybenzoic acid"
2774026,"4-Bromo-3,5-dimethoxybenzoic acid"
13505097,"5-Bromo-2,4-dimethoxybenzoic acid"
177164,3-(3-Chlorophenyl)propionic acid
123137,3-(4-Chlorophenyl)propionic acid
88712,4-(2-Chloroethyl)benzoic acid
95696,(4-chloro-3-methyl-phenoxy)-acetic acid
7542,2-(3-Chlorophenoxy)propionic acid
76780,3-(4-Chlorophenoxy)propionic acid
720989,3-Chloro-4-ethoxybenzoic acid
7204,4-Chloro-2-methylphenoxyacetic acid
2774976,"2-Chloro-3,4-dimethoxybenzoic acid"
612199,"3-Chloro-2,6-dimethoxybenzoic acid"
240053,"3-Chloro-4,5-dimethoxybenzoic acid"
2063866,3-(2-Fluorophenyl)propionic acid
2737489,3-(3-Fluorophenyl)propionic acid
136302,3-(4-Fluorophenyl)propionic acid
74099,3-(4-Fluorophenoxy)propionic acid
2736667,3-(2-Iodophenyl)propionic acid
1549514,3-(4-Aminophenyl)-2-propenoic acid
89244,2-(4-Nitrophenyl)propionic acid
13530897,2-Methyl-3-nitrophenylacetic acid
2733991,"2,5-Dimethoxy-3-nitrobenzoic acid"
78690,"4,5-Dimethoxy-2-nitrobenzoic acid"
13581612,3-(4-Azidophenyl)propionic acid
344176,3-Amino-3-(4-chlorophenyl)propionic acid
579885,3-Amino-3-(4-fluorophenyl)propionic acid
6486001,"7-Isopropyl-[1,2,4]triazolo[1,5-a]pyrimidine-5-carboxylic acid"
11782,"2,3-Dimethylbenzoic acid"
11897,"2,4-Dimethylbenzoic acid"
11892,"2,5-Dimethylbenzoic acid"
12439,"2,6-Dimethylbenzoic acid"
34170,2-Ethylbenzoic acid
10296,2-Phenylpropionic acid
12073,"3,4-Dimethylbenzoic acid"
10356,"3,5-Dimethylbenzoic acid"
12086,4-Ethylbenzoic acid
107,Hydrocinnamic acid
12121,m-Tolylacetic acid
69519,o-Tolylacetic acid
248474,p-Tolylacetic acid
2737461,3-(Methylthio)phenyl acetic acid
83231,4-(Ethylthio)benzoic acid
4983912,4-(Methylthio)phenylacetic acid
20235213,4-Methylphenylthioacetic acid
74651,(2-Methylphenoxy)acetic acid
70329,(4-Methylphenoxy)acetic acid
67252,2-Ethoxybenzoic acid
597164,2-Methoxy-4-methylbenzoic acid
520167,2-Methoxy-5-methylbenzoic acid
7134,2-Methoxyphenylacetic acid
13658,2-Phenoxypropionic acid
873,3-(2-Hydroxyphenyl)propionic acid
10394,3-(4-Hydroxyphenyl)propionic acid
12126,3-Ethoxybenzoic acid
81579,3-Methoxy-4-methylbenzoic acid
15719,3-Methoxyphenylacetic acid
81596,3-Phenoxypropionic acid
3848,3-Phenyllactic acid
3283498,4-(Hydroxymethyl)phenylacetic acid
12093,4-Ethoxybenzoic acid
597216,4-Methoxy-2-methylbenzoic acid
7690,4-Methoxyphenylacetic acid
290301,Benzyloxyacetic acid
10726,Tropic acid
15882,(2-Methoxyphenoxy)acetic acid
15204,"2,3-Dimethoxybenzoic acid"
7052,"2,4-Dimethoxybenzoic acid"
76027,"2,5-Dimethoxybenzoic acid"
15109,"2,6-Dimethoxybenzoic acid"
7121,"3,4-Dimethoxybenzoic acid"
14332,"3,5-Dimethoxybenzoic acid"
96384,"3-(2,4-Dihydroxyphenyl)propionic acid"
160562,3-Hydroxy-4-methoxyphenylacetic acid
112056,4-Methoxymandelic acid
9378,DL-p-Hydroxyphenyllactic acid
555252,3-(Phenylsulfonyl)propionic acid
572345,4-(Methylsulfonyl)phenylacetic acid
2735406,3-(3-Aminophenyl)propionic acid
53398840,"1-(3-Isopropyl-1,2,4-oxadiazol-5-yl)-N-methylmethanamine trifluoroacetate"
53398844,"1-(3-Isopropyl-1,2,4-oxadiazol-5-yl)ethanamine trifluoroacetate"
79139,2-Norbornaneacetic acid
269945,5-Oxoazelaic acid
10176239,1-Amino-4-oxocyclohexanecarboxylic acid
69702,3-Cyclohexanepropionic acid
5282723,3-Nonenoic acid
3616945,4-Methylcyclohexaneacetic acid
35860,8-Nonenoic acid
2266,Azelaic acid
8158,Nonanoic acid
171548,Biotin
4377950,6-Heptynoic acid
5275520,Geranic acid
243,Benzoic acid
76780,3-(4-chlorophenoxy)propanoic acid
520987,7-phenylheptanoic acid
6417,Trimethylacetic acid
3893,dodecanoic acid
77857,(tert-butoxycarbonyl)-L-phenylalanine
14625065,2-((furan-2-ylmethyl)sulfinyl)acetic acid
6862,2-(naphthalen-1-yl)acetic acid
7130633,"5-Phenyl-1,3,4-oxadiazole-2-propionic acid"
16044718,5-(4-Bromophenyl)oxazole-2-propionic acid
776336,3-[(1-Cyclohexyl-1H-tetraazol-5-yl)sulfanyl]propanoic acid
3159018,"3-[1,2,4]triazol-1-yl-butyric acid"
487260,"3-(6-Oxo-1,4,5,6-tetrahydropyridazin-3-yl)propanoic acid"
11040949,6-Azidohexanoic Acid
69820,8-Hydroxyoctanoic acid
5315,Succinylsulfathiazole
16770483,{Methyl[(5-methylisoxazol-4-YL)carbonyl]amino}acetic acid
6484178,(Tetrahydro-2H-pyran-2-ylmethoxy)acetic acid
9484192,"3-{[5-(Furan-2-yl)-1,3,4-oxadiazol-2-yl]sulfanyl}propanoic acid"
