cid,cmpnd
276350,"1,4-Cubanedicarboxylic acid"
643181,"3,4-(Methylenedioxy)cinnamic acid"
80646,3-(4-Bromobenzoyl)propionic acid
12222648,"3-(2-Bromo-4,5-methylenedioxyphenyl)propionic acid"
77604,3-(4-Chlorobenzoyl)propionic acid
900853,3-Chloro-4-methoxycinnamic acid
3157492,3-(5-Fluoro-1H-benzimidazol-2-yl)propanoic acid
101359,3-(4-Fluorobenzoyl)propionic acid
15284809,3-[2-(Trifluoromethyl)phenyl]propionic acid
3588736,4-(Trifluoromethyl)hydrocinnamic acid
98370,3-(1-Cyanoethyl)benzoic acid
12754876,Ethyl 2-bromo-(4-bromophenyl)acetate
80206,1-Phenyl-1-cyclopropanecarboxylic acid
2752991,2-Allylbenzoic acid
819020,2-Methylcinnamic acid
11240663,4-(2-Propenyl)benzoic acid
731767,4-Methylcinnamic acid
575777,Indan-2-carboxylic acid
583124,Methyl 4-vinylbenzoate
237413,trans-2-Phenylcyclopropane-1-carboxylic acid
5370625,trans-Styrylacetic acid
734154,2-Methoxycinnamic acid
6483884,3-(Allyloxy)benzoic acid
72871,3-Benzoylpropionic acid
637668,3-Methoxycinnamic acid
699414,4-Methoxycinnamic acid
1622530,cis-2-Methoxycinnamic acid
24123,"1,2-Phenylenediacetic acid"
29788,"1,3-Phenylenediacetic acid"
351737,2-(4-Formylphenoxy)propanoic acid
226294,3-(2-Carboxyphenyl)propionic acid
64810,"3-(3,4-Methylenedioxyphenyl)propionic acid"
854054,3-(4-Carboxyphenyl)propionic acid
3798557,3-Acetoxy-2-methylbenzoic acid
736186,3-Hydroxy-4-methoxycinnamic acid
74655,4-Acetylphenoxyacetic acid
12031,Benzylmalonic acid
81760,p-Phenylenediacetic acid
95459,Phenylsuccinic acid
445858,trans-Ferulic acid
79628,"2,5-Dihydroxy-1,4-benzenediacetic acid"
12039,Chorismic acid
2733978,2-[4-(Bromomethyl)phenyl]propionic acid
10491483,methyl 3-(2-bromoethoxy)benzoate
80406,"4-chloro-alpha,alpha-dimethylphenylacetic acid"
28529,2-(3-Chlorophenoxy)-2-methylpropanoic acid
2797,2-(p-Chlorophenoxy)-2-methylpropionic acid
24212094,3-(2-Chloro-3-methoxyphenyl)propionic acid
10889272,3-(3-Chloro-4-methoxyphenyl)propionic acid
4645427,4-(p-Iodophenyl)butyric acid
91637,2-Methylhippuric acid
99223,3-Methylhippuric acid
97479,4-Methylhippuric acid
79711,4-(4-Nitrophenyl)butyric acid
4989777,3-(Carboxymethylaminomethyl)-4-hydroxybenzoic acid
10714,"2,4,5-Trimethylbenzoic acid"
10194,"2,4,6-Trimethylbenzoic acid"
13222,2-Methyl-2-phenylpropanoic acid
30938,2-Methylhydrocinnamic acid
7012,2-Phenylbutyric acid
4749495,"3,5-dimethylphenylacetic acid"
138042,3-(3-Methylphenyl)propionic acid
73927,3-(p-Tolyl)propionic acid
20724,3-Phenylbutyric acid
10820,4-Isopropylbenzoic acid
4775,4-Phenylbutyric acid
137601,4-Propylbenzoic acid
3691284,Benzyloxyacetone
83694,3-[(4-Methylphenyl)thio]propionic acid
3801098,3-(4-Methylthiophenyl)propionic acid
201887,2-Hydroxy-3-isopropylbenzoic acid
88944,"3,5-Dimethyl-4-methoxybenzoic acid"
80652,3-(2-Methoxyphenyl)propionic acid
66336,3-(3-Methoxyphenyl)propionic acid
95750,3-(4-Methoxyphenyl)propionic acid
281331,3-(4-Methylphenoxy)propionic acid
72972,4-Isopropoxybenzoic acid
138500,4-Propoxybenzoic acid
350555,"(2,4-Dimethoxyphenyl)acetic acid"
74469,"(2,5-Dimethoxyphenyl)acetic acid"
138316,"(3,5-Dimethoxyphenyl)acetic acid"
607287,"2,4-Dimethoxy-6-methylbenzoic acid"
4916786,2-Hydroxy-3-(2-methylphenoxy)propanoic acid
7139,"3,4-Dimethoxyphenylacetic acid"
14340,3-(4-Hydroxy-3-methoxyphenyl)propionic acid
11308,"2,3,4-Trimethoxybenzoic acid"
10276,"2,4,5-Trimethoxybenzoic acid"
8357,"3,4,5-Trimethoxybenzoic acid"
78093,"3,5-Dimethoxy-4-hydroxyphenylacetic acid"
22016552,(Dimethylamino)(2-fluorophenyl)acetic acid
43803168,(Dimethylamino)(3-fluorophenyl)acetic acid
13573017,(4-Methoxyphenyl)(methylamino)acetic acid
22439330,4-[(2-Hydroxyethyl)(methyl)amino]benzoic acid
2734488,Boc-propargyl-Gly-OH
5275520,Geranic acid
719233,cis-Pinonic acid1
10130,cis-Pinonic acid2
239867,cis-Pinonic acid3
