variable,minutes,mean
Arenimonas oryziterrae,11,-0.5735586870981997
Arenimonas oryziterrae,12,-0.38151533233022206
Arenimonas oryziterrae,13,-0.1578074415512507
Arenimonas oryziterrae,14,0.04698397316920537
Arenimonas oryziterrae,15,0.25465398207247875
Arenimonas oryziterrae,16,0.48041801155346253
Arenimonas oryziterrae,17,0.6889104759375415
Arenimonas oryziterrae,18,0.8398310566652667
Arenimonas oryziterrae,19,1.027762134029219
Arenimonas oryziterrae,20,1.2403668758173223
Arenimonas oryziterrae,21,1.4533828453458288
Arenimonas oryziterrae,22,1.6729784587207752
Arenimonas oryziterrae,23,1.885583200508879
Arenimonas oryziterrae,24,2.0985991700373847
Arenimonas oryziterrae,25,2.3288867046627972
Arenimonas oryziterrae,26,2.5879601811163853
Arenimonas oryziterrae,27,2.828117181511458
Arenimonas oryziterrae,28,3.0608720825792854
Arenimonas oryziterrae,29,3.3113097764844204
Arenimonas oryziterrae,30,3.5489994104370783
Arenimonas oryziterrae,31,3.783810450206918
Arenimonas oryziterrae,32,4.042472698920104
Arenimonas oryziterrae,33,4.270704094843504
Arenimonas oryziterrae,34,4.495645668843682
Arenimonas oryziterrae,35,4.758831422701296
Arenimonas oryziterrae,36,5.031475414588169
Arenimonas oryziterrae,37,5.2218738583945346
Arenimonas oryziterrae,38,5.451338937539143
Arenimonas oryziterrae,39,5.68244892764536
Arenimonas oryziterrae,40,5.926306977704055
Arenimonas oryziterrae,41,6.162351700695102
Arenimonas oryziterrae,42,6.3840034527720615
Arenimonas oryziterrae,43,6.603599066147007
Arenimonas oryziterrae,44,6.831419234330005
Arenimonas oryziterrae,45,7.046902570300926
Arthrobacter globiformis,0,-2.1876275681780966
Arthrobacter globiformis,1,-2.300303969048387
Arthrobacter globiformis,2,-2.3406042876078343
Arthrobacter globiformis,3,-2.3015376522695945
Arthrobacter globiformis,4,-2.1506170715418698
Arthrobacter globiformis,5,-1.991060708265691
Arthrobacter globiformis,6,-1.9367786465325585
Arthrobacter globiformis,7,-1.7739324613331597
Arthrobacter globiformis,8,-1.464277972810061
Arthrobacter globiformis,9,-1.1978023970292273
Arthrobacter globiformis,10,-1.0012355371168222
Arthrobacter globiformis,11,-0.8400342628790336
Arthrobacter globiformis,12,-0.6924035040745283
Arthrobacter globiformis,13,-0.5254450414711045
Arthrobacter globiformis,14,-0.3860388374746493
Arthrobacter globiformis,15,-0.21784669165001838
Arthrobacter globiformis,16,-0.0759731212111487
Arthrobacter globiformis,17,0.09550884653670304
Arthrobacter globiformis,18,0.22792417894631475
Arthrobacter globiformis,19,0.38501317578007777
Arthrobacter globiformis,20,0.5260642907381429
Arthrobacter globiformis,21,0.6588908508881574
Arthrobacter globiformis,22,0.792128638778574
Arthrobacter globiformis,23,0.9282450208518084
Arthrobacter globiformis,24,1.04750106556854
Arthrobacter globiformis,25,1.1642897438428563
Arthrobacter globiformis,26,1.3049296310605185
Arthrobacter globiformis,27,1.4241856757772493
Arthrobacter globiformis,28,1.5434417204939805
Arthrobacter globiformis,29,1.6581742600662839
Arthrobacter globiformis,30,1.779897671225431
Arthrobacter globiformis,31,1.8851719727684755
Arthrobacter globiformis,32,1.9970259181579622
Arthrobacter globiformis,33,2.103122675181812
Arthrobacter globiformis,34,2.194826461291574
Arthrobacter globiformis,35,2.2186776702349214
Arthrobacter globiformis,36,2.328475476922395
Arthrobacter globiformis,37,2.4362171449078547
Arthrobacter globiformis,38,2.564520199913442
Arthrobacter globiformis,39,2.6697945014564866
Arthrobacter globiformis,40,2.7742463475187282
Arthrobacter globiformis,41,2.8844553819466032
Arthrobacter globiformis,42,2.9728693461331455
Arthrobacter globiformis,43,3.059227171617675
Arthrobacter globiformis,44,3.155043235131462
Arthrobacter globiformis,45,3.240989832875589
Auraticoccus monumenti,0,-2.1173076245692655
Auraticoccus monumenti,1,-2.249722956978877
Auraticoccus monumenti,2,-2.280153809768664
Auraticoccus monumenti,3,-2.234918758324386
Auraticoccus monumenti,4,-2.169122319859983
Auraticoccus monumenti,5,-2.0293048881231255
Auraticoccus monumenti,6,-1.8763281686933877
Auraticoccus monumenti,7,-1.831915572729915
Auraticoccus monumenti,8,-1.5629726305066658
Auraticoccus monumenti,9,-1.4050611781920979
Auraticoccus monumenti,10,-1.3047216095338827
Auraticoccus monumenti,11,-1.2261771111170012
Auraticoccus monumenti,12,-1.090883184524572
Auraticoccus monumenti,13,-1.0238530628389608
Auraticoccus monumenti,14,-0.9510657527877142
Auraticoccus monumenti,15,-0.8396230351386309
Auraticoccus monumenti,16,-0.7236568123451199
Auraticoccus monumenti,17,-0.6335979371969677
Auraticoccus monumenti,18,-0.538193101423583
Auraticoccus monumenti,19,-0.45882614752589646
Auraticoccus monumenti,20,-0.40413285805236066
Auraticoccus monumenti,21,-0.33052309252030954
Auraticoccus monumenti,22,-0.2478663166994026
Auraticoccus monumenti,23,-0.188238294341037
Auraticoccus monumenti,24,-0.10229169659690993
Auraticoccus monumenti,25,-0.03238298072848109
Auraticoccus monumenti,26,0.026833813889482
Auraticoccus monumenti,27,0.10537831230636349
Auraticoccus monumenti,28,0.16665124562633896
Auraticoccus monumenti,29,0.22956908990792463
Auraticoccus monumenti,30,0.3105809547672217
Auraticoccus monumenti,31,0.3788447596740399
Auraticoccus monumenti,32,0.42901454400314787
Auraticoccus monumenti,33,0.49810080439077137
Auraticoccus monumenti,34,0.5700656589612122
Auraticoccus monumenti,35,0.6432641967528618
Auraticoccus monumenti,36,0.7234536061313533
Auraticoccus monumenti,37,0.7904837278169642
Auraticoccus monumenti,38,0.8435321063288898
Auraticoccus monumenti,39,0.9130295944569154
Auraticoccus monumenti,40,0.9952751425374196
Auraticoccus monumenti,41,1.0610715810018236
Auraticoccus monumenti,42,1.1309802968702516
Auraticoccus monumenti,43,1.1889634082670073
Auraticoccus monumenti,44,1.2502363415869828
Auraticoccus monumenti,45,1.3189113742342038
Bacillus sp. 7586-K,0,-1.7706426394099397
Bacillus sp. 7586-K,1,-1.989415797304081
Bacillus sp. 7586-K,2,-2.0802971279330382
Bacillus sp. 7586-K,3,-2.0733062563461955
Bacillus sp. 7586-K,4,-2.1148402581268506
Bacillus sp. 7586-K,5,-2.033005937786749
Bacillus sp. 7586-K,6,-1.975022826389993
Bacillus sp. 7586-K,7,-1.9022355163387463
Bacillus sp. 7586-K,8,-1.6715367539729318
Bacillus sp. 7586-K,9,-1.6197220586822145
Bacillus sp. 7586-K,10,-1.6390497624811324
Bacillus sp. 7586-K,11,-1.6517978224336107
Bacillus sp. 7586-K,12,-1.5411775602653326
Bacillus sp. 7586-K,13,-1.5629726305066667
Bacillus sp. 7586-K,14,-1.5629726305066658
Bacillus sp. 7586-K,15,-1.5428224712269425
Bacillus sp. 7586-K,16,-1.5415887880057353
Bacillus sp. 7586-K,17,-1.546523520890565
Bacillus sp. 7586-K,18,-1.5498133428137857
Bacillus sp. 7586-K,19,-1.534597916418892
Bacillus sp. 7586-K,20,-1.578599284641962
Bacillus sp. 7586-K,21,-1.5629726305066662
Bacillus sp. 7586-K,22,-1.5580378976218359
Bacillus sp. 7586-K,23,-1.5551593034390185
Bacillus sp. 7586-K,24,-1.5679073633914966
Bacillus sp. 7586-K,25,-1.594225938777258
Bacillus sp. 7586-K,26,-1.6016280381045034
Bacillus sp. 7586-K,27,-1.5995718994024908
Bacillus sp. 7586-K,28,-1.603684176806516
Bacillus sp. 7586-K,29,-1.6234231083458375
Bacillus sp. 7586-K,30,-1.6361711682983149
Bacillus sp. 7586-K,31,-1.6308252076730825
Bacillus sp. 7586-K,32,-1.658377466280051
Bacillus sp. 7586-K,33,-1.675649031376957
Bacillus sp. 7586-K,34,-1.6666020210881018
Bacillus sp. 7586-K,35,-1.674826575896152
Bacillus sp. 7586-K,36,-1.6797613087809822
Bacillus sp. 7586-K,37,-1.6904532300314479
Bacillus sp. 7586-K,38,-1.7027900622435235
Bacillus sp. 7586-K,39,-1.7147156667151968
Bacillus sp. 7586-K,40,-1.7286974098888823
Bacillus sp. 7586-K,41,-1.7171830331576121
Bacillus sp. 7586-K,42,-1.7435016085433732
Bacillus sp. 7586-K,43,-1.7521373910918263
Bacillus sp. 7586-K,44,-1.7513149356110214
Bacillus sp. 7586-K,45,-1.762829312342292
Bacteriovorax sp. BAL6 X,0,-2.11484025812685
Bacteriovorax sp. BAL6 X,1,-2.2793313542878586
Bacteriovorax sp. BAL6 X,2,-2.3689790016956085
Bacteriovorax sp. BAL6 X,3,-2.3706239126572184
Bacteriovorax sp. BAL6 X,4,-2.334435871501797
Bacteriovorax sp. BAL6 X,5,-2.2933130974615445
Bacteriovorax sp. BAL6 X,6,-2.2982478303463747
Bacteriovorax sp. BAL6 X,7,-2.1896837068801087
Bacteriovorax sp. BAL6 X,8,-2.0823532666350504
Bacteriovorax sp. BAL6 X,9,-2.0206691055746733
Bacteriovorax sp. BAL6 X,10,-1.991883163746496
Bacteriovorax sp. BAL6 X,11,-1.9306102304265202
Bacteriovorax sp. BAL6 X,12,-1.8742720299913749
Bacteriovorax sp. BAL6 X,13,-1.8430187217207834
Bacteriovorax sp. BAL6 X,14,-1.8269808398450849
Bacteriovorax sp. BAL6 X,15,-1.8179338295562295
Bacteriovorax sp. BAL6 X,16,-1.799428581238116
Bacteriovorax sp. BAL6 X,17,-1.7833906993624178
Bacteriovorax sp. BAL6 X,18,-1.7965499870552986
Bacteriovorax sp. BAL6 X,19,-1.7554272130150466
Bacteriovorax sp. BAL6 X,20,-1.7537823020534364
Bacteriovorax sp. BAL6 X,21,-1.7578945794574614
Bacteriovorax sp. BAL6 X,22,-1.7245851324848567
Bacteriovorax sp. BAL6 X,23,-1.7278749544080774
Bacteriovorax sp. BAL6 X,24,-1.7060798841667442
Bacteriovorax sp. BAL6 X,25,-1.7052574286859383
Bacteriovorax sp. BAL6 X,26,-1.6830511307042024
Bacteriovorax sp. BAL6 X,27,-1.674826575896152
Bacteriovorax sp. BAL6 X,28,-1.6530315056548184
Bacteriovorax sp. BAL6 X,29,-1.6456294063275734
Bacteriovorax sp. BAL6 X,30,-1.6312364354134843
Bacteriovorax sp. BAL6 X,31,-1.6320588908942901
Bacteriovorax sp. BAL6 X,32,-1.59792698844088
Bacteriovorax sp. BAL6 X,33,-1.6028617213257106
Bacteriovorax sp. BAL6 X,34,-1.606151543248931
Bacteriovorax sp. BAL6 X,35,-1.5847677007479999
Bacteriovorax sp. BAL6 X,36,-1.5489908873329807
Bacteriovorax sp. BAL6 X,37,-1.559682808583446
Bacteriovorax sp. BAL6 X,38,-1.5411775602653326
Bacteriovorax sp. BAL6 X,39,-1.5370652828613078
Bacteriovorax sp. BAL6 X,40,-1.5276070448320491
Bacteriovorax sp. BAL6 X,41,-1.5136253016583638
Bacteriovorax sp. BAL6 X,42,-1.500466013965483
Bacteriovorax sp. BAL6 X,43,-1.4671565669928786
Bacteriovorax sp. BAL6 X,44,-1.4490625464151676
Bacteriovorax sp. BAL6 X,45,-1.4593432399252309
Bacteroides luti,0,-1.3043103817934802
Bacteroides luti,1,-1.4465951799727526
Bacteroides luti,2,-1.53254177771688
Bacteroides luti,3,-1.5897024336328298
Bacteroides luti,4,-1.6102638206529565
Bacteroides luti,5,-1.588879978152025
Bacteroides luti,6,-1.7233514492636495
Bacteroides luti,7,-1.6789388533001772
Bacteroides luti,8,-1.514858984879571
Bacteroides luti,9,-1.4013601285284754
Bacteroides luti,10,-1.4145194162213564
Bacteroides luti,11,-1.3976590788648526
Bacteroides luti,12,-1.5535143924774086
Bacteroides luti,13,-1.4803158546857595
Bacteroides luti,14,-1.556804214400628
Bacteroides luti,15,-1.519382490023999
Bacteroides luti,16,-1.600805582623698
Bacteroides luti,17,-1.5909361168540372
Bacteroides luti,18,-1.630002752192277
Bacteroides luti,19,-1.634526257336705
Bacteroides luti,20,-1.6415171289235477
Bacteroides luti,21,-1.6826399029637997
Bacteroides luti,22,-1.6777051700789696
Bacteroides luti,23,-1.6920981409930582
Bacteroides luti,24,-1.6986777848394985
Bacteroides luti,25,-1.7003226958011082
Bacteroides luti,26,-1.7237626770040522
Bacteroides luti,27,-1.7303423208504924
Bacteroides luti,28,-1.756660896236254
Bacteroides luti,29,-1.7825682438816128
Bacteroides luti,30,-1.776811055515977
Bacteroides luti,31,-1.7924377096512736
Bacteroides luti,32,-1.8088868192673737
Bacteroides luti,33,-1.8298594340279026
Bacteroides luti,34,-1.840551355278368
Bacteroides luti,35,-1.8672811584045321
Bacteroides luti,36,-1.8623464255197018
Bacteroides luti,37,-1.8718046635489598
Bacteroides luti,38,-1.887842545424658
Bacteroides luti,39,-1.8997681498963317
Bacteroides luti,40,-1.9445919736002057
Bacteroides luti,41,-1.9256754975416903
Bacteroides luti,42,-1.9236193588396775
Bacteroides luti,43,-1.97790142057281
Bacteroides luti,44,-1.9857147476404582
Bacteroides luti,45,-1.9922943914868987
Brachybacterium alimentarium,0,-2.2690506607777956
Brachybacterium alimentarium,1,-2.3558197140027275
Brachybacterium alimentarium,2,-2.39858739900459
Brachybacterium alimentarium,3,-2.411335458957068
Brachybacterium alimentarium,4,-2.385016883571307
Brachybacterium alimentarium,5,-2.3722688236188283
Brachybacterium alimentarium,6,-2.322921494770526
Brachybacterium alimentarium,7,-2.314285712222073
Brachybacterium alimentarium,8,-2.235329986064789
Brachybacterium alimentarium,9,-2.1082606142804097
Brachybacterium alimentarium,10,-1.941302151676986
Brachybacterium alimentarium,11,-1.8985344666751236
Brachybacterium alimentarium,12,-1.905114110521564
Brachybacterium alimentarium,13,-1.8516545042692363
Brachybacterium alimentarium,14,-1.8331492559511227
Brachybacterium alimentarium,15,-1.7809233329200027
Brachybacterium alimentarium,16,-1.7735212335927577
Brachybacterium alimentarium,17,-1.7352770537353226
Brachybacterium alimentarium,18,-1.7114258447919766
Brachybacterium alimentarium,19,-1.688808319069838
