Time,variable,value
0,A6.2,-0.981514260237693
1,A6.2,-1.0946379376888178
2,A6.2,-0.9693146479635528
3,A6.2,-0.9460244790765566
4,A6.2,-0.7330857921097347
5,A6.2,-0.4902026022882042
6,A6.2,-0.3160808634663761
7,A6.2,-0.22624735490224746
8,A6.2,0.08650634158027115
9,A6.2,0.31497180780509026
10,A6.2,0.5700546099007622
11,A6.2,0.7774480185611563
12,A6.2,0.9582240913506972
13,A6.2,1.2321608396882224
14,A6.2,1.431790858719617
15,A6.2,1.6746740485411493
16,A6.2,1.9075757374111086
17,A6.2,2.2425105471193394
18,A6.2,2.504247683182724
19,A6.2,2.6850237559722654
20,A6.2,2.9611786156323623
21,A6.2,3.1940803045023234
22,A6.2,3.4757804424688468
23,A6.2,3.6776285728228144
24,A6.2,3.94158382020877
25,A6.2,4.182248898707728
26,A6.2,4.442876979109829
27,A6.2,4.677996779302361
28,A6.2,4.909789412511036
29,A6.2,5.148236379687424
30,A6.2,5.407755404428238
31,A6.2,5.642875204620771
32,A6.2,5.825869388732883
33,A6.2,6.093151803102696
34,A6.2,6.343798382553225
35,A6.2,6.535665011955621
36,A6.2,6.7486036989224445
37,A6.2,6.9571061632441245
38,A6.2,7.1988802974043695
39,A6.2,7.430672930613044
40,A6.2,7.609230892080013
41,A6.2,7.853223137562831
42,A6.2,8.010709041465375
43,A6.2,8.207011893512915
44,A6.2,8.40442380122174
45,A6.2,8.60294476459185
46,A6.2,8.754885390187967
47,A6.2,8.93233429599365
48,A6.2,9.107565090476761
49,A6.2,9.286123051943736
50,A6.2,9.449154234152706
51,A6.2,9.598876748426253
52,A6.2,9.796288656135077
53,A6.2,9.975955673263336
54,A6.2,10.146750245101302
55,A6.2,10.318653872600562
56,A6.2,10.511629557664243
57,A6.2,10.674660739873215
58,A6.2,10.982978213710595
59,A6.2,11.21144367993541
60,A6.2,11.4343638678538
0,A7.2,-0.0033271669838557116
1,A7.2,0.32938953140180116
2,A7.2,0.8295736346415747
3,A7.2,1.6724559372185772
4,A7.2,2.4077598406508836
5,A7.2,3.0776294600673424
6,A7.2,3.96376493343448
7,A7.2,4.9042441342046095
8,A7.2,6.281691265521238
9,A7.2,7.4761442127257505
10,A7.2,8.68168771654312
11,A7.2,9.995918675166472
12,A7.2,11.203680290306414
13,A7.2,12.517911248929765
14,A7.2,13.874286322681968
15,A7.2,14.98223292830621
16,A7.2,16.173358708526866
17,A7.2,17.21698008579655
18,A7.2,18.249510906453377
19,A7.2,19.09461132035295
20,A7.2,19.918639676688098
21,A7.2,20.61290852065284
22,A7.2,21.31161358726272
23,A7.2,21.853941805631347
24,A7.2,22.421778304209536
25,A7.2,23.002923470723157
26,A7.2,23.53305207681764
27,A7.2,24.052090126299266
28,A7.2,24.441368663410486
29,A7.2,24.73748652497372
30,A7.2,24.92935315437612
31,A7.2,25.075748501665807
32,A7.2,25.199962735729784
33,A7.2,25.36077580661619
34,A7.2,25.52158887750259
35,A7.2,25.540442823744442
36,A7.2,25.662438946485853
37,A7.2,25.748945288066118
38,A7.2,25.911976470275093
39,A7.2,26.049499372274504
40,A7.2,26.129351379887062
41,A7.2,26.272419560192894
42,A7.2,26.326763287595888
43,A7.2,26.423251130127724
44,A7.2,26.531938584933712
45,A7.2,26.659479985981548
46,A7.2,26.758185939835958
47,A7.2,26.794784776658382
48,A7.2,26.97334273812535
49,A7.2,27.31271377047872
50,A7.2,27.66982969341266
51,A7.2,28.019182226717604
52,A7.2,28.01807317105632
53,A7.2,27.775189981234785
54,A7.2,27.520107179139117
55,A7.2,27.412528779994418
56,A7.2,27.294968879898153
57,A7.2,27.175190868479316
58,A7.2,27.18295425810831
59,A7.2,27.30495038084972
60,A7.2,27.936003052121187
0,A8.2,-0.9138618648992756
1,A8.2,-0.9937138725118349
2,A8.2,-0.9792961489151231
3,A8.2,-0.92273431018956
4,A8.2,-0.821810245012577
5,A8.2,-0.7685755732708728
6,A8.2,-0.6288345599488951
7,A8.2,-0.6044353354006122
8,A8.2,-0.3670974238855096
9,A8.2,-0.28280919362780965
10,A8.2,-0.19408474072496684
11,A8.2,-0.12421423406397913
12,A8.2,-0.06654333967713155
